symbol,dhan_security_id,name,mcap_inr,cmp
EXPLEOSOL,17486,Expleo Solutions,14330927104.0,923.4
FAZE3Q,12000,Faze Three,13069891584.0,538.5
FCL,6198,Fineotex Chemical,46451937280.0,39.89
FDC,4898,FDC,67256844288.0,413.1
FEDFINA,20322,Fedbank Financial Services,58040168448.0,154.79
FIEMIND,13710,Fiem Industries,61532729344.0,2337.9
FILATEX,24532,Filatex India,31625836544.0,71.22
FINEORG,3744,Fine Organic Industries,146937937920.0,4792.5
FINOPB,6579,Fino Payments Bank,13597053952.0,163.39
FIRSTCRY,24814,Firstcry (Brainbees Solutions),104395923456.0,215.09
FISCHER,757658,Fischer Medical Ventures,23510194176.0,35.92
FIVESTAR,12032,Five Star Business Finance,167076397056.0,566.0
FLAIR,20372,Flair Writing Industries,26912710656.0,255.35
FLUOROCHEM,13750,Gujarat Fluorochemicals,502486827008.0,4574.3
FMGOETZE,1190,Federal Mogul Goetze,26433605632.0,475.15
FRACTAL,760961,Fractal Analytics,135095795712.0,785.6
FSL,14304,Firstsource Solutions,203569790976.0,294.8
FUSION,11932,Fusion Finance,33313564672.0,206.0
GALAPREC,25134,Gala Precision Engineering,13903013888.0,1084.8
GALAXYSURF,1315,Galaxy Surfactants,69477130240.0,1959.6
GALLANTT,13337,Gallantt Ispat,145564794880.0,603.3
GANDHAR,20303,Gandhar Oil Refinery,22978197504.0,234.76
GANDHITUBE,14116,Gandhi Special Tubes,10645151744.0,876.0
GANECOS,6944,Ganesha Ecosphere,32127365120.0,1200.45
GANESHHOU,14339,Ganesh Housing,64624992256.0,775.0
GARFIBRES,1100,Garware Technical Fibres,70795051008.0,725.0
GARUDA,25800,Garuda Construction & Engineering,15927816192.0,171.19
GATEWAY,8510,Gateway Distriparks,29044297728.0,58.13
GCSL,758986,Gretex Corporate Services,11787176960.0,520.65
GENUSPOWER,11905,Genus Power Infrastructures,86852009984.0,314.0
GEOJITFSL,11896,Geojit Financial Services,20962070528.0,75.1
GESHIP,13776,Great Eastern Shipping Company,196222648320.0,1374.4
GHCL,1127,GHCL,40240664576.0,439.0
GHCLTEXTIL,16696,GHCL Textiles,11316401152.0,118.39
GICRE,277,GIC of India,630268231680.0,359.25
GILLETTE,1576,Gillette,257667596288.0,7907.5
GIPCL,1145,Gujarat Industries Power Company,25224140800.0,162.51
GKENERGY,759048,GK Energy,27443204096.0,135.31
GKSL,761197,Gujarat Kidney and Super Speciality,10033592320.0,127.26
GLAND,1186,Gland Pharma,419871883264.0,2545.3
GLAXO,1153,GlaxoSmithKline Pharmaceuticals,445266788352.0,2628.4
GLOBUSSPR,17424,Globus Spirits,25519452160.0,877.55
GMBREW,1168,GM Breweries,20583936000.0,900.95
GMDCLTD,5204,Gujarat Mineral Development Corporation,182007300096.0,572.35
GMMPFAUDLR,1570,GMM Pfaudler,36150104064.0,804.1
GNA,18571,GNA Axles,22439929856.0,522.7
GNFC,1174,Gujarat Narmada Valley Fert & Chem,76798558208.0,522.65
GOCLCORP,3963,GOCL Corporation,18973870080.0,382.75
GOCOLORS,6964,Go Colors,16925386752.0,321.8
GODAVARIB,25941,Godavari Biorefineries,13812396032.0,269.9
GODIGIT,23799,Go Digit General Insurance,234314268672.0,253.45
GODREJAGRO,144,Godrej Agrovet,107904327680.0,560.95
GOKEX,11778,Gokaldas Exports,60249243648.0,822.25
GOKULAGRO,14480,Gokul Agro Resources,65656795136.0,222.5
GOLDIAM,11971,Goldiam International,53342384128.0,354.3
GOODLUCK,6125,Goodluck India,50918072320.0,1531.9
GOODYEAR,1205,Goodyear,19006801920.0,824.0
GOPAL,23066,Gopal Snacks,32974372864.0,264.5
GPIL,13409,Godawari Power & Ispat,164471029760.0,252.8
GPPL,19731,Gujarat Pipavav Port,72717975552.0,150.36
GPTHEALTH,22846,GPT Healthcare,13735976960.0,167.4
GPTINFRA,17685,GPT Infraprojects,15420271616.0,122.03
GRANULES,11872,Granules,208174186496.0,840.1
GRAPHITE,592,Graphite,130335055872.0,667.1
GRAUWEIL,5200,Grauer & Weil,34799333376.0,76.75
GRAVITA,20534,Gravita India,117813706752.0,1617.5
GREAVESCOT,1235,Greaves Cotton,55903686656.0,239.98
GREENLAM,6848,Greenlam Industries,65407115264.0,256.35
GREENPANEL,13810,Greenpanel Industries,23437774848.0,191.13
GREENPLY,3987,Greenply Industries,35909337088.0,287.5
GREENPOWER,20110,Orient Green Power,11624743936.0,9.91
GRINDWELL,13560,Grindwell Norton,234671046656.0,2119.5
GRINFRA,5054,GR Infraprojects,85700804608.0,885.7
GRPLTD,6543,GRP,10581330944.0,1984.0
GRSE,5475,Garden Reach Shipbuilders,300905201664.0,2626.8
GRWRHITECH,7982,Garware Hi-Tech Films,159594938368.0,6869.5
