day,model,sym,side,sig,code,time,min,entry,rank,cls,taken,ghost,skip_why,breadth,daypct,sec,sec_bullq,sec_bearq,sec_pb,sec_pw,held,tilt,regime,cf_net_s,cf_net_p,cf_r_s,cf_r_p,cf_exit_s,m9_shard
2026-07-31,M9C,JTEKTINDIA,BUY,ENTRY BUY,90,09:25,565,136.6,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.26,,,,,,,,,,,,,,C
2026-07-31,M9C,JYOTHYLAB,SELL,ENTRY SELL,290,09:20,560,201.4,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-0.837,,,,,,,,,,,,,,C
2026-07-31,M9C,KARURVYSYA,BUY,ENTRY BUY,90,09:20,560,344.6,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.204,,,,,,,,,,,,,,C
2026-07-31,M9C,KKCL,SELL,ENTRY SELL,290,09:20,560,503.35,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-0.906,,,,,,,,,,,,,,C
2026-07-31,M9C,KNRCON,BUY,ENTRY BUY,90,09:20,560,120.5,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.82,,,,,,,,,,,,,,C
2026-07-31,M9C,KSB,BUY,ENTRY BUY,90,09:20,560,851.1,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.603,,,,,,,,,,,,,,C
2026-07-31,M9C,LLOYDSENGG,BUY,ENTRY BUY,90,09:20,560,88.98,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.114,,,,,,,,,,,,,,C
2026-07-31,M9C,LMW,SELL,ENTRY SELL,290,09:20,560,16235.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-0.393,,,,,,,,,,,,,,C
2026-07-31,M9C,LUXIND,SELL,ENTRY SELL,290,09:20,560,1244.5,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-0.916,,,,,,,,,,,,,,C
2026-07-31,M9C,MAHLIFE,BUY,ENTRY BUY,90,09:25,565,387.25,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.428,,,,,,,,,,,,,,C
2026-07-31,M9C,MANINFRA,BUY,ENTRY BUY,90,09:20,560,96.73,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.75,,,,,,,,,,,,,,C
2026-07-31,M9C,MASFIN,BUY,ENTRY BUY,90,09:25,565,321.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.262,,,,,,,,,,,,,,C
2026-07-31,M9C,MAXESTATES,BUY,ENTRY BUY,90,09:20,560,389.35,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.737,,,,,,,,,,,,,,C
2026-07-31,M9C,MHRIL,BUY,ENTRY BUY,90,09:20,560,216.3,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.093,,,,,,,,,,,,,,C
2026-07-31,M9C,MOBIKWIK,BUY,ENTRY BUY,90,09:25,565,203.17,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.891,,,,,,,,,,,,,,C
2026-07-31,M9C,MOLDTKPAC,BUY,ENTRY BUY,90,09:20,560,688.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,2.001,,,,,,,,,,,,,,C
2026-07-31,M9C,MUNJALAU,BUY,ENTRY BUY,90,09:20,560,102.33,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.257,,,,,,,,,,,,,,C
2026-07-31,M9C,NDRAUTO,BUY,ENTRY BUY,90,09:20,560,811.65,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.795,,,,,,,,,,,,,,C
