day,model,sym,side,sig,code,time,min,entry,rank,cls,taken,ghost,skip_why,breadth,daypct,sec,sec_bullq,sec_bearq,sec_pb,sec_pw,held,tilt,regime,cf_net_s,cf_net_p,cf_r_s,cf_r_p,cf_exit_s,m9_shard,cf_net,cf_r,cf_exit,mfe_r,mae_r,mfe30_r,mfe60_r,eod_pct,bear_close,day_regime
2026-07-31,M1,COCHINSHIP,BUY,ENTRY BUY,90,09:20,560,1413.2,133.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.655,DEF,,,,,,,,,,,,,,210,0.61,100% EOD 15:20,1.32,0.71,0.43,0.78,1.19,0.476,MIXED
2026-07-31,M1,COLPAL,SELL,ENTRY SELL,290,09:25,565,2066.3,22.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,-0.897,FMCG,,,,,,,,,,,,,,-229,-0.19,100% EOD 15:20,0.44,0.32,0.44,0.44,-0.11,0.476,MIXED
2026-07-31,M1,CROMPTON,BUY,ENTRY BUY,90,09:25,565,261.95,96.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.75,CDUR,,,,,,,,,,,,,,-467,-1.0,100% SL 13:25,0.97,1.9,0.25,0.97,-0.65,0.476,MIXED
2026-07-31,M1,CUMMINSIND,BUY,ENTRY BUY,90,09:20,560,5541.0,203.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,2.526,CAPGOODS,,,,,,,,,,,,,,-239,-0.23,100% EOD 15:20,0.32,0.41,0.32,0.32,-0.53,0.476,MIXED
2026-07-31,M1,DABUR,SELL,ENTRY SELL,290,09:20,560,423.75,13.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,-0.831,FMCG,,,,,,,,,,,,,,226,0.42,100% EOD 15:20,0.57,0.29,0.57,0.57,0.48,0.476,MIXED
2026-07-31,M1,DELHIVERY,BUY,ENTRY BUY,90,09:20,560,473.1,49.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.874,LOGISTICS,,,,,,,,,,,,,,-627,-1.0,100% SL 11:05,3.56,1.58,0.04,0.04,1.61,0.476,MIXED
2026-07-31,M1,DIXON,BUY,ENTRY BUY,90,09:25,565,14390.0,48.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.482,CDUR,,,,,,,,,,,,,,206,0.69,100% trail 13:05,1.45,5.77,0.28,0.28,-4.44,0.476,MIXED
2026-07-31,M1,EICHERMOT,SELL,ENTRY SELL,290,09:20,560,7811.0,184.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,-1.239,AUTO,,,,,,,,,,,,,,-216,-0.27,100% EOD 15:20,0.19,0.92,0.19,0.19,-0.31,0.476,MIXED
2026-07-31,M1,FEDERALBNK,BUY,ENTRY BUY,90,09:20,560,356.25,112.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.621,BANK,,,,,,,,,,,,,,-49,0.18,100% trail 10:30,2.2,0.32,1.02,1.02,0.67,0.476,MIXED
2026-07-31,M1,FORCEMOT,BUY,ENTRY BUY,90,09:25,565,17822.0,183.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,1.204,AUTO,,,,,,,,,,,,,,307,0.91,100% trail 11:55,2.58,0.63,0.33,0.33,0.27,0.476,MIXED
2026-07-31,M1,GLENMARK,BUY,ENTRY BUY,90,09:25,565,2229.0,127.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.997,PHA,,,,,,,,,,,,,,290,0.76,100% trail 10:15,1.23,0.41,0.85,1.23,0.94,0.476,MIXED
2026-07-31,M1,GODREJCP,SELL,ENTRY SELL,290,09:20,560,1061.5,17.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,-0.97,FMCG,,,,,,,,,,,,,,-554,-1.0,100% SL 12:25,0.69,1.49,0.69,0.69,-0.43,0.476,MIXED
2026-07-31,M1,GODREJPROP,BUY,ENTRY BUY,90,09:20,560,2123.2,69.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.246,REALTY,,,,,,,,,,,,,,-512,-1.0,100% SL 15:00,0.58,1.46,0.58,0.58,-1.04,0.476,MIXED
2026-07-31,M1,GRASIM,BUY,ENTRY BUY,90,09:20,560,3132.8,182.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,1.055,CEMENT,,,,,,,,,,,,,,-435,-1.0,100% SL 13:00,0.13,1.71,0.07,0.13,-1.28,0.476,MIXED
2026-07-31,M1,HAL,BUY,ENTRY BUY,90,09:20,560,4616.6,140.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.58,DEF,,,,,,,,,,,,,,55,0.52,100% trail 10:40,1.98,0.29,1.26,1.98,0.51,0.476,MIXED
2026-07-31,M1,HDFCAMC,BUY,ENTRY BUY,90,09:20,560,2570.4,187.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.82,CAPMKTS,,,,,,,,,,,,,,714,2.03,100% trail 15:15,2.86,0.44,0.56,0.56,1.7,0.476,MIXED
2026-07-31,M1,HINDUNILVR,SELL,ENTRY SELL,290,09:20,560,2103.8,66.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,-0.152,FMCG,,,,,,,,,,,,,,12,0.22,100% EOD 15:20,0.78,0.44,0.78,0.78,0.21,0.476,MIXED
2026-07-31,M1,IDEA,BUY,ENTRY BUY,90,09:20,560,12.99,143.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.854,TELECOM,,,,,,,,,,,,,,-367,-1.0,100% SL 09:35,1.29,3.29,0.57,0.57,0.23,0.476,MIXED
2026-07-31,M1,IDFCFIRSTB,BUY,ENTRY BUY,90,09:20,560,85.26,131.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.661,BANK,,,,,,,,,,,,,,-479,-1.0,100% SL 15:10,0.72,1.12,0.48,0.64,-0.49,0.476,MIXED
2026-07-31,M1,IEX,BUY,ENTRY BUY,90,09:20,560,133.1,72.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,1.294,CAPMKTS,,,,,,,,,,,,,,-847,-1.0,100% SL 12:45,0.2,1.01,0.2,0.2,-0.8,0.476,MIXED
